dim,pargrp,Estimate,Standard,Lower,Upper
3,1,0.9987,0.006993,0.985,1.0124
3,2,0.8841,0.007088,0.8702,0.898
3,3,0.896,0.005592,0.885,0.907
4,1,0.9942,0.006884,0.9807,1.0077
4,2,0.851,0.006447,0.8383,0.8636
4,3,0.877,0.005077,0.8671,0.887
5,1,0.9894,0.006746,0.9762,1.0026
5,2,0.8273,0.006306,0.815,0.8397
5,3,0.8641,0.004983,0.8544,0.8739
6,1,0.9745,0.006898,0.9609,0.988
6,2,0.8123,0.006434,0.7997,0.8249
6,3,0.8425,0.005,0.8327,0.8523
7,1,0.9668,0.006926,0.9533,0.9804
7,2,0.797,0.006497,0.7842,0.8097
7,3,0.8322,0.005168,0.8221,0.8424
8,1,0.9499,0.00697,0.9363,0.9636
8,2,0.7836,0.006455,0.771,0.7963
8,3,0.8227,0.005366,0.8122,0.8332
9,1,0.9434,0.01166,0.9206,0.9663
9,2,0.7742,0.006535,0.7614,0.787
9,3,0.8116,0.005398,0.801,0.8222
10,1,0.9465,0.01469,0.9177,0.9753
10,2,0.7621,0.006824,0.7488,0.7755
10,3,0.8019,0.005722,0.7907,0.8131
