dim,pargrp,Estimate,Standard,Lower,Upper
3,1,921.17,16.9961,887.84,954.5
3,2,634.54,17.4492,600.32,668.76
3,3,779.08,13.7456,752.12,806.04
4,1,926.53,16.5908,893.99,959.06
4,2,697.62,16.3063,665.64,729.6
4,3,837.48,12.8236,812.32,862.63
5,1,917.51,16.3468,885.45,949.57
5,2,705.61,16.0668,674.1,737.13
5,3,838.29,12.655,813.46,863.11
6,1,901.14,16.5844,868.62,933.66
6,2,704.42,16.2122,672.62,736.22
6,3,812.42,12.6955,787.52,837.33
7,1,897.56,16.686,864.84,930.28
7,2,685.51,16.3123,653.51,717.5
7,3,799.14,12.9308,773.78,824.51
8,1,889.72,16.9555,856.47,922.97
8,2,662.85,16.2998,630.88,694.82
8,3,789.5,13.2382,763.54,815.47
9,1,888.95,24.4343,841.05,936.86
9,2,651.54,16.4735,619.23,683.85
9,3,772.5,13.3845,746.25,798.75
10,1,853.4,31.773,791.1,915.69
10,2,619.48,17.0827,585.97,652.98
10,3,751.86,14.042,724.33,779.4
