dim,pargrp,Estimate,Standard,Lower,Upper
3,1,1.9844,0.005638,1.9734,1.9955
3,2,2.0652,0.005755,2.0539,2.0765
3,3,2.0993,0.004537,2.0904,2.1082
4,1,1.9262,0.005495,1.9154,1.9369
4,2,2.0154,0.005276,2.0051,2.0258
4,3,2.0374,0.004152,2.0293,2.0456
5,1,1.8957,0.005397,1.8851,1.9063
5,2,1.9794,0.005174,1.9692,1.9895
5,3,1.9907,0.004081,1.9827,1.9987
6,1,1.8706,0.0055,1.8598,1.8814
6,2,1.947,0.005244,1.9367,1.9573
6,3,1.9571,0.004097,1.9491,1.9652
7,1,1.8501,0.005536,1.8392,1.861
7,2,1.9206,0.005288,1.9102,1.9309
7,3,1.9259,0.004202,1.9176,1.9341
8,1,1.8236,0.005627,1.8126,1.8346
8,2,1.8935,0.005275,1.8832,1.9039
8,3,1.9029,0.004335,1.8944,1.9114
9,1,1.7857,0.008737,1.7685,1.8028
9,2,1.8686,0.005343,1.8581,1.8791
9,3,1.874,0.004385,1.8654,1.8826
10,1,1.7969,0.01133,1.7747,1.8191
10,2,1.8486,0.005589,1.8376,1.8595
10,3,1.8535,0.004649,1.8444,1.8626
