dim,pargrp,Estimate,Standard,Lower,Upper
3,1,5.0847,0.0222,5.0412,5.1282
3,2,5.3554,0.0243,5.3078,5.4031
3,3,5.425,0.01909,5.3875,5.4624
4,1,5.1753,0.02175,5.1326,5.2179
4,2,5.4751,0.02259,5.4308,5.5194
4,3,5.5448,0.01775,5.51,5.5796
5,1,5.2081,0.02171,5.1656,5.2507
5,2,5.5923,0.0222,5.5487,5.6358
5,3,5.6219,0.01748,5.5876,5.6562
6,1,5.2664,0.02203,5.2232,5.3096
6,2,5.69,0.02234,5.6462,5.7338
6,3,5.6745,0.01747,5.6402,5.7088
7,1,5.3144,0.02247,5.2704,5.3585
7,2,5.7476,0.02241,5.7036,5.7915
7,3,5.6968,0.01777,5.662,5.7317
8,1,5.3578,0.02313,5.3125,5.4032
8,2,5.7898,0.02238,5.7459,5.8337
8,3,5.699,0.0181,5.6635,5.7345
9,1,5.3767,0.03355,5.3109,5.4425
9,2,5.799,0.02266,5.7546,5.8434
9,3,5.7072,0.01832,5.6712,5.7431
10,1,5.4671,0.04443,5.3799,5.5542
10,2,5.8374,0.02358,5.7911,5.8836
10,3,5.7103,0.01927,5.6725,5.7481
