dim,pargrp,Estimate,Standard,Lower,Upper
3,1,7.3017,0.0301,7.2426,7.3607
3,2,6.8174,0.03264,6.7534,6.8814
3,3,6.8977,0.02565,6.8474,6.948
4,1,7.3186,0.02975,7.2602,7.377
4,2,6.8216,0.03102,6.7608,6.8825
4,3,6.8939,0.02437,6.8461,6.9417
5,1,7.355,0.02974,7.2966,7.4133
5,2,6.7842,0.03066,6.724,6.8443
5,3,6.8839,0.02413,6.8365,6.9312
6,1,7.3418,0.03005,7.2829,7.4008
6,2,6.7542,0.03083,6.6937,6.8147
6,3,6.8517,0.02412,6.8044,6.899
7,1,7.3313,0.03046,7.2715,7.391
7,2,6.7256,0.0309,6.665,6.7862
7,3,6.8393,0.02442,6.7914,6.8872
8,1,7.3211,0.03102,7.2603,7.382
8,2,6.6987,0.03084,6.6382,6.7591
8,3,6.8456,0.02474,6.7971,6.8941
9,1,7.3229,0.04265,7.2393,7.4065
9,2,6.7019,0.03107,6.641,6.7628
9,3,6.846,0.02489,6.7972,6.8948
10,1,7.2436,0.05493,7.1359,7.3513
10,2,6.6557,0.03187,6.5931,6.7182
10,3,6.8375,0.02573,6.787,6.888
